word,sentiment
강세장,positive
약세장,negative
횡보장,neutral
감소,negative
하락,negative
축소,negative
손실,negative
중단,negative
관세,negative
험난,negative
피해,negative
소실,negative
수월,positive
협력,positive
위협,negative
협력 강화, positive
압수수색,negative
주가 상승,positive
주가 하락,negative
주가 횡보,neutral
상한가,positive
하한가,negative
가격 제한폭,neutral
거래량 증가,positive
거래량 감소,negative
거래량 유지,neutral
시가총액 증가,positive
시가총액 감소,negative
시가총액 안정,neutral
배당 확대,positive
배당 축소,negative
배당 유지,neutral
실적 호조,positive
실적 부진,negative
예상 실적 부합,neutral
호재 발표,positive
악재 공시,negative
공시 미발표,neutral
기술적 반등,positive
기술적 조정,negative
기술적 횡보,neutral
신규 상장,positive
상장폐지,negative
상장 유지,neutral
기관 매수,positive
기관 매도,negative
기관 매매 중립,neutral
외국인 순매수,positive
외국인 순매도,negative
외국인 거래,neutral
개인 순매수,positive
개인 순매도,negative
개인 거래,neutral
공매도 증가,negative
공매도 축소,positive
공매도 잔고,neutral
주식 분할,positive
액면분할 무산,negative
액면분할 예정,neutral
무상증자,positive
유상증자,negative
증자 계획 없음,neutral
자사주 매입,positive
자사주 처분,negative
M&A 추진,positive
M&A 무산,negative
M&A 검토,neutral
신제품 출시,positive
시장 진입 실패,negative
신제품 개발 중,neutral
부채 상환,positive
부채 급증,negative
부채 수준,neutral
신용 등급 상향,positive
신용 등급 하향,negative
신용 등급 유지,neutral
예상치 상회,positive
예상치 하회,negative
예상치 부합,neutral
EPS 증가,positive
EPS 감소,negative
EPS 안정,neutral
PER 저평가,positive
PER 고평가,negative
PER 보합,neutral
ROE 개선,positive
ROE 악화,negative
ROE 유지,neutral
배당 커버리지 개선,positive
배당 커버리지 악화,negative
배당 커버리지 안정,neutral
현금흐름 개선,positive
현금흐름 악화,negative
현금흐름 안정,neutral
순이익 증가,positive
순이익 감소,negative
순이익 유지,neutral
영업이익 증가,positive
영업이익 감소,negative
영업이익 안정,neutral
유동성 증가,positive
유동성 감소,negative
유동성 보통,neutral
기술적 분석 호평,positive
기술적 분석 경고,negative
기술적 분석 중립,neutral
배당 수익률 높음,positive
배당 수익률 낮음,negative
배당 수익률 평균,neutral
목표주가 상향,positive
목표주가 하향,negative
목표주가 유지,neutral
환율 상승,negative
환율 하락,positive
ETF 상장,positive
ETF 해지,negative
공매도 잔고 증가,negative
공매도 잔고 감소,positive
인플레이션 상승,negative
금리 인상,negative
금리 인하,positive
정책금리 동결,neutral
Fed 금리 인상,negative
Fed 금리 인하,positive
약세,negative
달러 강세,negative
달러 약세,positive
원/달러 환율 상승,negative
원/달러 환율 하락,positive
외환 보유액 증가,positive
외환 보유액 감소,negative
외국인 채권 순매수,positive
외국인 채권 순매도,negative
직전 고점 돌파,positive
주요 저점 이탈,negative
이익 전망 상향,positive
이익 전망 하향,negative
목표주가 괴리 확대,negative
목표주가 괴리 축소,positive
애널리스트 매수 의견 증가,positive
