text,label
"화장품 주식 투자자들이 수출 주도 브랜드에 주목하면서 전통 대장주와 주가 희비가 크게 엇갈리고 있다. 13일 한국거래소에 따르면 에이피알 은 지난 11일까지 한 달 사이 주가가 13만6000원에서 16만6300원으로 22.28% 상승했다. 작년 증시 입성 당시 공모가(조정 후 5만원) 대비 세 배 가격을 넘어섰다. 같은 기간 달바글로벌 주가도 55.93% 급등했다. 지난 5월 말 상장 당시 공모가(6만6300원) 대비 3.47배 수준인 23만원까지 치솟았다. 반면 한국 간판 화장품주는 상대적으로 부진한 흐름을 보이고 있다. 설화수·헤라 등 브랜드를 운영하는 아모레퍼시픽 은 최근 한 달간 4.94% 하락했다. 더후·오휘·빌리프 등을 보유한 LG생활건강 도 4.63% 내렸다. LG생활건강 시가총액은 5조1462억원으로 최근 3년간 꾸준히 줄어 에이피알(6조3267억원)보다 작아졌다. K화장품 수출 증가를 신진 브랜드가 견인하면서 주가 차이를 키우고 있다는 게 업계의 설명이다. 대체데이터 플랫폼 한경에이셀(Aicel)에 따르면 올해 들어 10일까지 화장품 수출(잠정치)은 전년 동기 대비 15.15% 증가했다. 같은 기간 반도체(11.45%) 수출 증가율을 훌쩍 웃돈다. 에이피알 등 신성장 브랜드는 백화점과 면세점 판매에 주력해 온 전통 브랜드와 달리 동영상 숏폼 콘텐츠를 비롯해 SNS를 활용한 마케팅으로 큰 성공을 거두고 있다. 그 덕에 에이피알의 해외 매출 비중은 2023년 46%에서 올 1분기 71%로 늘었다. 박은정 하나증권 연구원은 에이피알과 관련해 “2분기 미국 매출이 전년 동기에 비해 세 배 넘게 증가했을 것으로 추정된다”며 “미국 내 한국 브랜드 중 매출 1위를 유지할 것”이라고 낙관했다. 달바글로벌의 해외 매출 비중도 2023년 22%에서 올해 1분기 56%로 뛰었다. 박종대 메리츠증권 연구원은 “일본, 북미, 러시아, 유럽, 아세안 등에서 고르게 성장하고 있다”며 “해외 사업 대부분이 온라인 기반으로 지역별 오프라인 채널 진출을 통해 추가 성장할 여지도 크다”고 평가했다. 허제나 DB증권 연구원은 “화장품 업종은 북미와 유럽에서 온라인 채널을 중심으로 시장을 확대하는 종목의 상승세가 돋보일 것”이라고 내다봤다. 선한결 기자 always@hankyung.com",negative
"/사진=파마리서치 제공 한국투자증권은 11일 파마리서치 에 대해 ""하반기 유럽 주요국 진출과 4분기 성수기 효과로 높은 매출 증가세가 지속될 것으로 예상한다""며 목표주가를 기존 49만원에서 72만원으로 상향 조정했다. 투자의견은 '매수'를 유지했다. 이 증권사 강시온 연구원은 ""유럽 주요국에서 3분기 유통사 선정을 마무리하고 4분기 중 신규 매출이 발생할 것으로 예상한다""며 ""여전히 내수 대비 수출 규모가 작은 만큼 국가 수를 확대하는 것만으로도 높을 수출 증가세를 실현할 수 있다""고 분석했다. 이어 ""PLLA 기반 스킨부터 '에버클'의 매출이 7월부터 더해지고 3월부터 대규모 광고가 진행 중인 화장품 부문의 광고 효과도 점차 가시화될 것으로 기대한다""고 했다. 2분기 실적은 컨센서스를 웃돌 것으로 전망했다. 강 연구원은 ""2분기 매출액과 영업이익은 각각 1331억원과 539억원으로 높으진 컨센서스를 5.7% 웃돌 전망""이라며 ""의료기기 부문의 가파른 매출액 증가세를 반영해 기존 추정치 대비 매출액과 영업이익을 각각 11%와 17% 상향했다""고 말했다. 또 ""국내는 높은 매출 기저에도 내외국인 수요를 바탕으로 한 리쥬란 매출 증가세가 전혀 꺾이지 않고 있고 강릉 지역 관세청 수출데이터는 매달 최고치를 경신하고 있다""며 ""이에 따라 의료기기 매출액을 내수 552억원, 수출 258억원으로 전망한다""고 설명했다. 그러면서 ""이익은 3월 공개된 신규 광고 관련 비용이 2분기에 집중 집행돼 광고비가 전분기 대비 약 40% 증가할 것으로 추정한다""며 ""매출 증가세가 이를 상쇄해 40.7%의 높은 영업이익률을 기록할 전망""이라고 덧붙였다. 노정동 한경닷컴 기자 dong2@hankyung.com",negative
"■김학균 신영증권 리서치센터장 기자 간담회 ""국장 상승세의 핵심 동인은 트럼프發 약달러"" ""비달러 자산 매력↑···코스피 5000 불가능 아냐"" [서울경제] 올해 달러화 약세 기조가 이어지면서 코스피 지수도 장기 상승 국면으로 진입할 것이라는 전망이 나왔다. 김학균 신영증권 리서치센터장은 22일 서울 여의도 한국거래소에서 열린 간담회에서 ""지금 국내 증시가 바닥에서 올라오면서 큰 장이 됐지만 이를 기업 기초체력(펀더멘털)으로 설명할 수는 없다""며 ""달러 약세에 따른 비달러 자산 선호가 증시 반등의 핵심 동인""이라고 밝혔다. 김 센터장은 코스피 지수와 원·달러 환율이 반대로 움직인다는 점에 주목했다. 올 4월 9일 코스피 지수는 연저점(2284포인트)을 기록했고 같은 날 원·달러 환율은 연고점(1487원)을 기록했다. 이날 이후 달러가 약세로 돌아서면서 코스피는 반등했다. 지난달 말까지 원·달러 환율은 1300원 중반대까지 내려갔다가 미국 연방준비제도(Fed·연준)의 기준금리 인하 기대감이 줄어들면서 최근 2주 만에 40원가량 올랐다. 이에 코스피도 이달 들어 상승 폭을 줄이기도 했다. 김 센터장은 약달러 기조의 배경으로 우선 미국의 감세 정책과 재정적자를 꼽았다. 그는 역사적으로 미국 공화당이 정권을 잡으면 재정지출 감축과 감세를 동시에 추진한 점을 들어 재정건전성이 개선된 적이 없었음을 지적했다. 그러면서 ""미국 정부에 대한 크레딧이 떨어진다면 금리가 올라도 달러화의 가치가 약해질 수밖에 없다""고 말했다. 다른 요인으로는 스티브 미란 백악관 경제자문위원회 위원장이 지난해 11월에 작성한 보고서를 언급했다. 김 센터장은 '미란 보고서'의 핵심을 환율 조정이라고 설명했다. 김 센터장은 “미국이 타국과의 무역에서 적자를 보고 있기 때문에 달러 가치를 인위적으로 낮춰야 한다는 게 (보고서의) 골자”라며 ""그럼에도 트럼프 행정부는 스스로 달러 약세를 유도하고 있다""고 말했다. 대표적으로 올 5월 미국과 대만의 무역 협상을 언급했다. 협상 이후 대만달러의 가치가 치솟았고 증시에는 외국인 자금이 본격적으로 유입되기 시작했다. 김 센터장은 ""달러 약세와 신흥국에서의 외국인 순매수 반전은 비슷하게 나타난다""며 ""2022~2023년 외국인이 국내 주식을 16조 원가량 순매수했던 것도 환율 변동에 따른 결과""라고 말했다. 달러 약세가 장기화하면 비달러 자산 기반 국가의 증시 매력도가 상대적으로 높아질 수 있다는 설명이다. 한편 김 센터장은 신정부가 외친 '코스피 5000 시대'를 두고 ""황당한 목표치는 아니다""라고 짚었다. 그는 ""과거 강세장을 봤을 땐 지수가 1년에 20% 오를 때도 있었다""며 ""이 대통령의 재임 기간인 5년 동안 코스피가 연 10.7%가량 오르면 불가능한 수치는 아닐 것""이라고 말했다. 다만 주가는 대외적 요인이 복합적으로 얽혀있기 때문에 투자에 신중함을 기할 것을 제언했다.",positive
"사진=연합뉴스 뉴욕증시의 3대 주가지수가 하락했다. 도널드 트럼프 미국 대통령이 캐나다에 35%의 관세, 나머지 국가에도 20% 안팎의 관세를 부과하기로 하면서 위험 회피 심리가 강해진 탓이다. 다만 협상 여지가 있다는 기대감에 낙폭은 줄었다. 11일(미국 동부시간) 뉴욕증권거래소(NYSE)에서 다우존스30산업평균지수는 전장보다 279.13포인트(0.63%) 밀린 44,371.51에 거래를 마감했다. 스탠더드앤드푸어스(S&P)500지수는 전장보다 20.71포인트(0.33%) 떨어진 6,259.75, 나스닥종합지수는 45.14포인트(0.22%) 내린 20,585.53에 장을 마쳤다. 트럼프는 이날 자신의 트루스소셜 계정에 캐나다에 보내는 관세 서한을 공개했다. 마크 카니 캐나다 총리 앞으로 보내지는 서한에서 캐나다에 부과되는 관세율은 35%로 책정됐다. 유럽연합(EU)에 보내는 관세 서한도 곧 공개될 예정이다. 이에 앞서 트럼프는 미국 NBC 방송과의 전화 인터뷰에서 ""나머지 모든 국가에 15%든 20%든 관세를 부과할 것이고 우리는 지금 그 비율을 정하고 있다""며 전방위적인 '관세 살포'를 예고했다. 이 같은 소식에 뉴욕증시의 주요 주가지수는 낙폭을 키운 채 개장했다.저가 매수세가 유입되며 마감 무렵 낙폭은 줄었으나 지수가 상승세로 돌아설 만큼 매수심리가 강하진 않았다. 관세가 발효되는 8월 1일까지 협상 기간은 남았지만, 대부분의 국가가 결국 고율 관세에 직면하게 된 점은 증시에도 악재이기 때문이다. 트럼프가 EU에 어느 정도로 관세를 부과할지 또한 시장이 주목하는 지점이다. 트럼프는 그간 EU가 매우 어려운 협상 상대라고 말해왔던 만큼 협상은 진척이 느릴 공산이 크다. 이는 고율 관세 위험으로 이어진다. 다음 주에는 2분기 실적 시즌이 시작되고 미국 소비자물가지수(CPI) 등 주요 인플레이션 지표가 발표될 예정이다. 이는 시장에 변동성을 더 불어넣을 수 있는 재료들이다. 트럼프가 브라질과 캐나다에 관세를 부과하면서 미국 중앙은행(Fed)은 금리인하가 더 어려워졌다는 관측이 나온다. 업종별로는 임의소비재와 에너지를 제외한 모든 업종이 약세였다. 금융은 1% 하락했다. 시가총액 1조달러 이상의 거대 기술기업은 혼조였다. 엔비디아는 이날도 0.50% 오르며 시총 4조달러 선을 지켜냈다. 아마존과 알파벳, 테슬라도 1%대 강세를 기록했다. 반면 애플과 메타, 브로드컴은 1% 안팎으로 하락했다. 금융업종이 전반적으로 약세를 보인 가운데 비자와 마스터카드는 2%대 하락률을 기록했고 JP모건체이스와 모건스탠리도 약보합이었다. 비트코인 가격이 사상 최고치를 연일 경신하면서 가상화폐 관련주도 강세였다. 비트코인 최대 보유 기업 스트래티지의 주가는 3% 올랐으며 비트코인 채굴업체 마라 홀딩스의 주가도 강보합이었다. 청바지 브랜드 리바이 스트라우스의 주가는 지난 2분기 실적이 시장 예상치를 상회하면서 11% 급등했다. 영국 에너지 기업 BP는 2분기 원유 트레이딩 부문의 실적이 양호할 것으로 예상되자 3.55% 올랐다. 루이스 이나시우 룰라 다 시우바 브라질 대통령은 트럼프가 부과한 50% 폭탄 관세에 대해 ""미국이 브라질에 부과한 관세가 발효되지 않도록 나는 싸울 것""이라며 ""관세가 발효된다면 우리는 상응하는 조치를 취하겠다""고 강조했다. 시카고상품거래소(CME) 페드워치툴에 따르면 연방기금금리 선물시장은 9월 기준금리 25bp 인하 확률을 62.2%로 반영했다. 전날보다 금리인하 기대감이 낮아졌다. 시카고옵션거래소(CBOE) 변동성 지수(VIX)는 0.62포인트(3.93%) 오른 16.40을 기록했다. 안혜원 한경닷컴 기자 anhw@hankyung.com",negative
"메디큐브 에이지알 부스터 프로 미니 플러스 장원영 화보./사진=에이피알 뷰티 테크기업 에이피알 주가가 지난해 말 대비 3배가 넘는 수준으로 뛰며 연일 신고가를 경신하고 있다. 에이피알의 대표 브랜드 '메디큐브 에이지알'이 국내외 뷰티 시장에서 인기몰이를 하며 외형 성장을 거듭하고 있어서다. 증권가에선 하반기에도 호실적을 기록해 밸류에이션(실적 대비 주가 수준) 정당성을 입증할 것으로 예상한다. 10일 한국거래소에 따르면 에이피알은 전날 1.3% 오른 16만3300원에 거래를 마쳤다. 이날 장중 16만4500원까지 상승해 1년 내 최고가를 기록하기도 했다. 에이피알 주가는 올 들어서만 226.6% 치솟았다. 이 기간 외국인과 기관투자자가 에이피알을 각각 3438억원과 459억원 순매수해 주가를 견인했다. 그 결과 에이피알 시가총액은 전날 기준 6조2126억원으로 상장 1년4개월여 만에 3배 넘게 불었다. 현재 화장품주 전통 강자인 LG생활건강(5조291억원)을 제치고 업계 2위에 올랐고 아모레퍼시픽(7조8790억원)을 바짝 쫓고 있다. 주가가 오르자 상당수 개인투자자도 평가이익을 보고 있다. 네이버페이 '내자산 서비스'에 따르면 전날 기준 에이피알 투자자 4824명의 평균 매수가는 11만4141원으로 평균 수익률은 43.07%에 달했다. 주가에 힘을 싣고 있는 건 탄탄한 실적이다. 에이피알은 홈 뷰티 디바이스와 화장품 판매를 주요 사업으로 하고 있다. 특히 초기에 배우 김희선을 광고모델로 기용해 '김희선 디바이스'로 유명한 '메디큐브 에이지알' 브랜드가 매출 성장을 이끌었다. 이 기기는 미세전류로 피부 탄력을 높이고 화장품 흡수를 돕는다. 에이지알 디바이스의 누적 판매량은 지난달 기준 400만대를 넘었다. 또 에이프릴스킨 등 디바이스와 궁합이 맞는 화장품을 지속적으로 출시해 시너지를 내고 있다. 에이피알은 최근 메디큐브 에이지알 브랜드 모델로 김희선에 이어 걸그룹 아이브 멤버 장원영을 발탁하기도 했다. 에이피알은 이 같은 경쟁력에 힘입어 견조한 실적을 잇달아 내놓고 있다. 증권가에선 에이피알이 지난 1분기에 이어 2분기에도 '어닝 서프라이즈'(깜짝 실적)를 달성할 것으로 전망한다. 이익 추정치를 가장 높게 잡은 하나증권은 에이피알의 올 2분기 연결기준 매출액과 영업이익을 각각 전년 동기 대비 93%와 135% 급증한 3000억원과 657억원으로 추정했다. 영업이익의 경우 시장 컨센서스(증권사 추정치 평균)인 575억원을 웃도는 역대 최대치다. 2분기 영업이익률은 22%로 봤다. 1만원어치를 팔면 2200원가량 남는다는 의미다. 박은정 하나증권 연구원은 ""에이피알은 지난해 하반기부터 미국·일본 등 주력 시장의 이커머스에 집중해 압도적 성장을 보이고 있다""며 ""현지에서 K-뷰티에 대한 수요층이 확산하는 가운데 경쟁 브랜드 대비 확연한 성장률을 기록하면서 글로벌 기업의 시장 점유율을 빠르게 잠식하고 있다""고 분석했다. 김희선 출연한 에이피알 부스터 프로 광고./사진=에이피알 증권가에선 올 하반기에도 에이피알의 실적 성장세가 이어질 것으로 전망한다. 에이피알은 하반기에 뷰티 디바이스 신제품 3종을 출시하고 국가별 오프라인 채널을 확대할 계획이다. 조소정 키움증권 연구원은 ""일본에선 연말까지 3000개 매장, 미국은 다음달까지 울트라 뷰티 1400개 매장 입점이 마무리될 전망""이라며 ""온라인 채널 내 제품에 대한 소비자들의 긍정적인 반응이 오프라인 구매로 이어지면서 하반기에도 의미 있는 외형 성장이 지속될 것""으로 내다봤다. 이승은 유안타증권 연구원은 ""K-뷰티 수출 호조로 시총 3조원 이상 화장품 기업들이 평균 주가수익비율(PER) 22배 수준에서 거래되는 가운데 에이피알은 선진 시장에서 세 자릿수 성장률이 예상되면서 프리미엄을 받고 있다""고 분석했다. 이어 ""시총이 최근 업계 대형사를 넘어선 것도 일시적 반등이 아닌 구조적 성장에 기반한 것""이라며 ""앞으로도 밸류에이션 우위는 지속될 것""으로 판단했다. 고정삼 한경닷컴 기자 jsk@hankyung.com",positive
"이번주 뉴욕증시는 미국이 유럽연합(EU)과 멕시코에 부과한 고율 관세 여파와 6월 인플레이션 지표, 2분기 기업 실적 발표에 주목할 것으로 보인다. 관세에 따른 불확실성은 이번주에도 투자심리를 좌우할 핵심 변수로 작용할 전망이다. 도널드 트럼프 미국 대통령은 지난주까지 한국과 일본 등 아시아 국가에 이어 캐나다·브라질, EU, 멕시코 관세율을 잇달아 발표했다. 주요 교역국 대부분의 상호관세 방침이 공개된 셈이다. 주요 경제지표로 15일(현지시간) 6월 소비자물가지수(CPI), 16일 생산자물가지수(PPI)가 발표된다. 트럼프 대통령이 지난 4월부터 상호관세를 본격화한 이후 물가는 안정적이지만, 언제든 자극받을 수 있다는 우려가 나온다. 바클레이스는 최근 보고서에서 “관세가 성장과 인플레이션에 미칠 영향은 아직 미지수”라며 “브라질에 부과한 50% 관세처럼 ‘징벌적 관세’가 더해질수록 낙관론은 시험대에 오를 수 있다”고 지적했다. 이번주부터 본격적으로 시작되는 기업들의 2분기 실적 발표도 관세 여파를 가늠할 또 다른 지표다. 15일 씨티그룹, 웰스파고, JP모간체이스 등이 실적을 발표한다. 16일에는 유나이티드항공, 모건스탠리, 골드만삭스 등이, 17일에는 넷플릭스가 발표할 예정이다. 금융정보업체 팩트셋에 따르면 S&P500 기업의 2분기 순이익 증가율은 전년 동기 대비 4.6%로 예상된다. 이는 2023년 4분기 이후 가장 낮은 수준이다. 임다연 기자 allopen@hankyung.com",positive
"[서울=뉴시스]이재준 기자 = 홍콩 증시는 14일 미국 고관세 정책에 대한 불투명감이 커지면서 반락 출발했다가 중국 경제정책에 대한 기대로 매수가 유입해 출렁이고 있다. 항셍지수는 이날 지난 11일 대비 39.00 포인트, 0.16% 하락한 2만4100.57로 장을 열었다. 홍콩 증시 상장 중국기업주 중심의 H주 지수는 전장보다 8.13 포인트, 0.09% 밀린 8679.43으로 거래를 시작했다. 석탄주 중국선화, 롄허능원, 전기차주 리샹이 급등하고 동영상주 콰이서우, 반도체주 중신국제, 금광주 쯔진광업, 태양광 패널주 신이광넝, 화룬전력, 중국석유천연가스, 중국해양석유, 자동차 판매주 중성 HD, 지리차, 가전주 하이얼즈자, 식육가공주 완저우 국제, 생수주 눙푸 산취안, 유리주 신이보리, 한썬제약이 뛰어오르고 있다. 반면 훠궈주 하이디라오가 급락하고 전동공구주 촹커실업, 식품주 캉스푸, 검색주 바이두, 전자상거래주 징둥닷컴, 여행 예약 사이트주 트립닷컴, 약품주 스야오 집단, 중국생물 제약, 징둥건강, 마카오 카지노주 진사중국, 인허오락, 유방보험도 떨어지고 있다. 항셍지수는 상승 반전해 오전 10시32분(한국시간 11시32분) 시점에는 45.41 포인트, 0.19% 올라간 2만4184.98로 거래됐다. H주 지수도 오전 10시32분 시점에 24.18 포인트, 0.28% 상승한 8711.74를 기록했다.",negative
"사진=쿠팡 쿠팡이 업계 최초로 일반제품 다회용 배송용기 '에코백'(가칭)을 도입한다. 신선식품 다회용 배송용기인 프레시백의 재질 등을 개선한 원터치 방식의 프레시백 테스트도 함께 진행한다. 22일 쿠팡로지스틱스서비스(CLS)는 인천,  부산,  제주 일부 캠프 지역에서 에코백 배송을 시범 운영하고 인천,  경기 시흥 일부 지역에서는 새로운 프레시백을 테스트한다고 22일 밝혔다. 에코백은 장보기 가방 등에 많이 사용되는 타포린 소재를 사용한 다회용 용기다. 최소 80g의 초경량 재질로 배송 송장을 떼지 않아도 되고,  지퍼 형태로 상품을 쉽게 꺼낼 수 있어 소비자의 편의성도 높였다는 설명이다. 인천에 거주하는 40대 직장인 A씨는 ""쿠팡은 대부분 부피가 작은 비닐 포장으로 배송돼 자주 주문했다”며 “이제는 에코백까지 도입돼 분리배출 번거로움까지 없어 편리하고 환경에도 더욱 도움이 되는 것 같아 만족한다""고 말했다. 쿠팡은 신선식품 다회용 배송용기 '프레시백'을 개선한 '뉴 프레시백' 테스트 진행하고 있다. 뉴 프레시백은 '발포 폴리프로필렌'(EPP) 등 가벼운 재질을 사용과 보냉성을 더욱 높인 게 특징이다. 보냉성이 높아져 프레시백 내부의 아이스팩 등 보냉재 사용도 줄일 수 있을 것으로 기대된다. 쿠팡은 테스트 지역의 소비자들은 친환경과 위생,  편익 등에 대해 90% 이상이 만족한다고 답했다고 설명했다. 특히 기존에 프레시백이 아닌 종이 박스로 신선 식품을 주문하던 고객들도 뉴 프레시백을 선택할 만큼 만족도가 높았다는 설명이다. 뉴 프레시백은 수거할 때 기존 프레시백처럼 펼치지 않아도 돼,  배송 기사들의 작업도 보다 수월해질 것으로 기대된다. 고용노동부는 지난해 근로감독 이후 ""프레시백을 펼치는 작업이 업무 부담을 가중할 수 있는 측면이 있다""며 업무 경감 방안을 마련할 것을 권고한 바 있다. CLS는 시범 운영을 진행하면서 개선 사항들을 확인한 후 전국 확대 여부 등을 검토할 예정이다. CLS 관계자는 ""지구 곳곳에서 이상기온으로 폭염이 발생하고 있다. 이제 친환경 정책은 선택이 아니라 필수이며 어떤 정책보다 우선되어야 한다""며 ""'에코백'과 '뉴 프레시백' 시범 운영은 친환경 정책의 일환으로 연구 개발 등 상당한 투자를 통해 이뤄낸 성과""라고 말했다. 신용현 한경닷컴 기자 yonghyun@hankyung.com",positive
"7월 수출이 반도체·자동차·선박 등 주력 품목 호조에 힘입어 증가세로 출발했다. 11일 관세청에 따르면 이달 1∼10일 수출은 194억 달러로 1년 전보다 9.5% 증가했다. 조업일수를 고려한 일평균 수출액은 22억8000만 달러로 집계됐다. 이달 1∼10일 조업일수는 8.5일로 작년과 같다. 수출은 한 달 만에 다시 플러스(4.3%)를 기록했다. 미국 관세부과 등 악재에도 불구하고 올해 들어 1월과 5월을 뺀 나머지 기간엔 모두 1년 전보다 증가했다. 1∼10일 수출을 품목별로 보면 반도체(12.8%), 승용차(13.3%), 선박(134.9%) 등 주력 품목이 전체 증가세를 견인했다. 반도체 수출 비중은 19.7%로 작년 동기보다 0.6%포인트(p) 상승했다. 반도체는 고부가 제품 수요, 가격 상승 등 영향으로 수출 증가세가 이어지고 있다. 자동차는 품목별 관세 영향으로 미국 수출은 줄었지만 유럽연합(EU) 수출이 전기차 중심으로 늘었다. 반면 석유제품(-1.9%), 무선통신기기(-13.7%) 등은 수출이 줄었다. 국가별로는 중국(6.2%), 미국(6.1%), EU(3.6%), 베트남(2.3%) 등으로의 수출이 증가했고 홍콩(-43.1%) 등은 감소했다. 1∼10일 수입은 200억 달러로 작년 같은 기간보다 1.8% 늘었다. 원유(4.9%), 기계류(17.2%), 가스(21.9%) 등에서 증가했고 반도체(-4.5%), 석유제품(-27.4%) 등은 감소했다. 국가별로는 중국(2.2%), EU(18.3%), 일본(6.8%) 등에서 수입은 늘었고 미국(-13.1%), 대만(-9.1%) 등은 줄었다. 수입액이 수출액을 웃돌면서 무역수지는 6억 달러 적자를 기록했다. 최수진 한경닷컴 기자 naive@hankyung.com",negative
"템퍼스AI·RXRX 등에 투자 [서울경제] 하나자산운용은 국내 최초로 미국 메디컬(의료) 인공지능(AI) 대표 기업에 투자하는 ‘1Q 미국메디컬 AI’ 상장지수펀드(ETF)를 신규 상장한다고 22일 밝혔다. 해당 상품은 미국 상장기업 중 메디컬 AI 관련도가 높은 기업을 스코어링 방식 등을 종합해 총 최대 15개 기업을 선별해 투자한다. 주요 편입 기업으로는 ‘의료계의 팔란티어’라고 불리는 AI기반 정밀의료 플랫폼 기업 템퍼스AI(TEM), 엔비디아가 지분 투자한 AI 신약 개발 선두주자 리커전 파마슈티컬(RXRX), 수술용 로봇 전문 기업 인튜이티브 서지컬(ISRG)에 각 약 25%, 15%, 10%를 투자한다. 이외에도 구글, 노바티스, 엔비디아, 아스트라제네카 등 메디컬 AI 관련 기술을 보유하거나 협업하는 기업들도 담는다. 템퍼스AI와 리커전 파마슈티컬은 올해 상반기 기준 국내의 해외주식 투자자 순매수 각 5위와 10위에 올랐다. 특히 템퍼스 AI는 팔란티어(6위), 애플(7위), 코인베이스(8위), AMD(9위) 보다 많은 금액을 투자하여 서학개미에게도 친숙한 종목이다. 메디컬AI 산업은 단백질 구조를 AI 기술을 활용해 정확하게 예측하며 신약 개발, 단백질 기능 연구 등 다양한 분야에서 새로운 가능성을 연 공로로 지난해 노벨화학상을 수상한 분야다. 최근 젠슨 황의 엔비디아를 비롯하여 다수의 빅테크 기업들이 메디컬AI를 차세대 혁명의 영역으로 주목하고 있다. 한편 하나자산운용은 올해 들어 △1Q 미국배당TOP30 △1Q 미국S&P500 △1Q 미국나스닥100 △1Q 미국S&P500미국채혼합50액티브 등을 잇달아 상장하며, ETF 상품 라인업을 확충해 왔다. 이 중 미국 대표지수 2종은 순자산 1000억 원을 돌파했다. 김태우 하나자산운용 대표는 “상반기에는 S&P500, 나스닥100 등 연금투자에 필수적인 라인업을 채웠으며 하반기부터는 하나자산운용의 리서치 역량을 기반으로 메디컬AI와 같이 구조적인 장기 성장이 기대되는 산업에 투자하는 1Q만의 차별화된 ETF를 출시할 것”이라고 밝혔다.",positive
